runid	clusterid	annote	Methanothermococcus_archaeon_SAG_AD_155_C09	Methanothermococcus_archaeon_SAG_AD_155_K20	Methanothermococcus_archaeon_SAG_AD_155_M21	Methanothermococcus_archaeon_SAG_AD_155_N22	Methanothermococcus_archaeon_SAG_AD_155_E23
all_I_2.0_c_0.4_m_maxbit	1424	glycosyltransferase involved in cell wall bisynthesis_ga0150973_1107224	NONE	fig|155862.3.peg.140	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	829	eoxyribonuclease-4_ga0150971_107317	fig|155862.1.peg.779	NONE	fig|155862.4.peg.914	NONE	fig|155862.2.peg.829
all_I_2.0_c_0.4_m_maxbit	192	abc transporte_ga0150973_100872	fig|155862.1.peg.957	fig|155862.3.peg.4;fig|155862.3.peg.5	NONE	NONE	fig|155862.2.peg.889
all_I_2.0_c_0.4_m_maxbit	1687	hypothetical protein_ga0150971_10856	fig|155862.1.peg.873	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	1114	 formylmethanofuran dehydrogenase, subunit e_ga0150971_10408	fig|155862.1.peg.437	NONE	NONE	fig|155862.5.peg.560	NONE
all_I_2.0_c_0.4_m_maxbit	1505	hypothetical protein_ga0150971_10038	fig|155862.1.peg.21	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	906	nura domain-containing protein_ga0150973_104392	NONE	fig|155862.3.peg.45	fig|155862.4.peg.533	NONE	fig|155862.2.peg.854
all_I_2.0_c_0.4_m_maxbit	337	hypothetical protein_ga0150975_12494	fig|155862.1.peg.671	NONE	fig|155862.4.peg.304	fig|155862.5.peg.188	fig|155862.2.peg.930
all_I_2.0_c_0.4_m_maxbit	1764	 carbohydrate abc transporter membrane protein 2, cut1 family_ga0150975_134911	NONE	NONE	NONE	fig|155862.5.peg.319	NONE
all_I_2.0_c_0.4_m_maxbit	1195	 glycyl-trna synthetase_ga0150971_10892	fig|155862.1.peg.911	NONE	fig|155862.4.peg.246	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	596	 lsu ribosomal protein l18p_ga0150972_102637	fig|155862.1.peg.135	NONE	fig|155862.4.peg.644	NONE	fig|155862.2.peg.43
all_I_2.0_c_0.4_m_maxbit	27	nucleotide sugar dehydrogenase_ga0150973_113038	fig|155862.1.peg.630	fig|155862.3.peg.171;fig|155862.3.peg.38	fig|155862.4.peg.583	fig|155862.5.peg.821	NONE
all_I_2.0_c_0.4_m_maxbit	430	rna (cytidine56-2'-o)-methyltransferase_ga0150975_18854	fig|155862.1.peg.1035	NONE	NONE	fig|155862.5.peg.829;fig|155862.5.peg.700	NONE
all_I_2.0_c_0.4_m_maxbit	1336	hypothetical protein_ga0150971_11022	fig|155862.1.peg.1097	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	677	cytosine/adenosine deaminase_ga0150972_104043	fig|155862.1.peg.270	NONE	NONE	fig|155862.5.peg.269	fig|155862.2.peg.222
