gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	ko_id	ko_name	EC	img_ko_flag
2706070469	444	88.21	1	441	1	441	0.0e+00	900	KO:K00401	methyl-coenzyme M reductase beta subunit [EC:2.8.4.1]	EC:2.8.4.1	Yes
2706070470	164	82.32	1	164	1	164	3.2e-103	333	KO:K03422	methyl-coenzyme M reductase subunit D		Yes
2706070471	204	87.31	1	197	1	197	2.1e-129	411	KO:K03421	methyl-coenzyme M reductase subunit C		Yes
2706070472	260	88.85	1	260	1	260	0.0e+00	565	KO:K00402	methyl-coenzyme M reductase gamma subunit [EC:2.8.4.1]	EC:2.8.4.1	Yes
2706070473	552	93.31	1	552	1	553	0.0e+00	1210	KO:K00399	methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1]	EC:2.8.4.1	Yes
2706070474	304	83.88	1	304	1	300	0.0e+00	602	KO:K00581	tetrahydromethanopterin S-methyltransferase subunit E [EC:2.1.1.86]	EC:2.1.1.86	Yes
2706070475	235	81.9	3	234	4	235	0.0e+00	445	KO:K00580	tetrahydromethanopterin S-methyltransferase subunit D [EC:2.1.1.86]	EC:2.1.1.86	Yes
2706070476	270	71.75	1	269	1	262	0.0e+00	448	KO:K00579	tetrahydromethanopterin S-methyltransferase subunit C [EC:2.1.1.86]	EC:2.1.1.86	Yes
2706070478	310	66.67	8	298	6	296	0.0e+00	475	KO:K00852	ribokinase [EC:2.7.1.15]	EC:2.7.1.15	Yes
2706070479	240	66.81	1	238	1	238	1.5e-119	387	KO:K01814	phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase [EC:5.3.1.16]	EC:5.3.1.16	Yes
2706070483	240	63.72	8	233	3	228	4.8e-114	371	KO:K07991	archaeal preflagellin peptidase FlaK [EC:3.4.23.52]	EC:3.4.23.52	Yes
2706070492	317	73.16	1	311	94	406	0.0e+00	557	KO:K07057	uncharacterized protein		Yes
2706070495	213	55.02	1	208	51	258	8.8e-76	260	KO:K05844	ribosomal protein S6--L-glutamate ligase [EC:6.3.2.-]	EC:6.3.2.-	Yes
2706070496	266	63.67	1	266	1	267	3.6e-120	391	KO:K06989	aspartate dehydrogenase [EC:1.4.1.21]	EC:1.4.1.21	Yes
2706070500	497	79.03	1	496	1	492	0.0e+00	884	KO:K00088	IMP dehydrogenase [EC:1.1.1.205]	EC:1.1.1.205	Yes
2706070502	123	74.6	1	123	1	126	2.7e-64	218	KO:K03626	nascent polypeptide-associated complex subunit alpha		Yes
2706070503	456	74.78	7	456	21	475	0.0e+00	778	KO:K03568	TldD protein		Yes
2706070504	432	72.94	1	425	1	423	0.0e+00	732	KO:K12960	5-methylthioadenosine/S-adenosylhomocysteine deaminase [EC:3.5.4.31 3.5.4.28]	EC:3.5.4.28	Yes
2706070504	432	72.94	1	425	1	423	0.0e+00	732	KO:K12960	5-methylthioadenosine/S-adenosylhomocysteine deaminase [EC:3.5.4.31 3.5.4.28]	EC:3.5.4.31	Yes
2706070505	358	73.26	1	357	27	385	0.0e+00	650	KO:K04654	hydrogenase expression/formation protein HypD		Yes
2706070506	586	69.63	1	585	1	591	0.0e+00	965	KO:K15904	bifunctional N6-L-threonylcarbamoyladenine synthase / protein kinase Bud32 [EC:2.3.1.234 2.7.11.1]	EC:2.3.1.234	Yes
2706070506	586	69.63	1	585	1	591	0.0e+00	965	KO:K15904	bifunctional N6-L-threonylcarbamoyladenine synthase / protein kinase Bud32 [EC:2.3.1.234 2.7.11.1]	EC:2.7.11.1	Yes
2706070507	459	68.85	1	455	1	459	0.0e+00	727	KO:K06885	uncharacterized protein		Yes
2706070509	256	80.78	1	255	1	255	0.0e+00	486	KO:K00586	diphthine synthase [EC:2.1.1.98]	EC:2.1.1.98	Yes
2706070512	260	80	1	260	1	260	0.0e+00	476	KO:K03609	septum site-determining protein MinD		Yes
2706070513	439	71.95	1	435	1	435	0.0e+00	756	KO:K03341	O-phospho-L-seryl-tRNASec:L-selenocysteinyl-tRNA synthase [EC:2.9.1.2]	EC:2.9.1.2	Yes
2706070514	351	75.5	1	351	1	350	0.0e+00	637	KO:K01179	endoglucanase [EC:3.2.1.4]	EC:3.2.1.4	Yes
2706070515	144	58.78	11	141	1	130	1.4e-54	193	KO:K07158	uncharacterized protein		Yes
2706070521	344	67.45	3	340	4	342	0.0e+00	535	KO:K15429	tRNA (guanine37-N1)-methyltransferase [EC:2.1.1.228]	EC:2.1.1.228	Yes
2706070528	380	61.58	1	376	1	380	0.0e+00	569	KO:K06948	uncharacterized protein		Yes
2706070532	355	58.45	1	351	1	360	0.0e+00	484	KO:K07504	predicted type IV restriction endonuclease		Yes
2706070534	494	61.62	1	493	21	511	0.0e+00	698	KO:K01652	acetolactate synthase I/II/III large subunit [EC:2.2.1.6]	EC:2.2.1.6	Yes
2706070535	127	56.3	1	119	1	119	2.5e-42	156	KO:K07171	mRNA interferase MazF [EC:3.1.-.-]	EC:3.1.-	Yes
2706070537	151	86.09	1	151	1	151	2.3e-92	300	KO:K02956	small subunit ribosomal protein S15		Yes
2706070538	283	78.09	1	283	4	286	0.0e+00	533	KO:K01902	succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	EC:6.2.1.5	Yes
2706070540	611	61.7	1	611	8	618	0.0e+00	855	KO:K03406	methyl-accepting chemotaxis protein		Yes
2706070541	275	69.06	10	272	5	269	0.0e+00	446	KO:K00575	chemotaxis protein methyltransferase CheR [EC:2.1.1.80]	EC:2.1.1.80	Yes
2706070542	219	64.09	1	218	1	220	3.1e-104	341	KO:K07096	uncharacterized protein		Yes
2706070543	356	71.27	1	355	1	355	0.0e+00	621	KO:K01823	isopentenyl-diphosphate delta-isomerase [EC:5.3.3.2]	EC:5.3.3.2	Yes
2706070544	446	86.1	1	446	30	475	0.0e+00	920	KO:K12574	ribonuclease J [EC:3.1.-.-]	EC:3.1.-	Yes
2706070545	319	73.9	2	319	4	320	0.0e+00	534	KO:K13787	geranylgeranyl diphosphate synthase, type I [EC:2.5.1.1 2.5.1.10 2.5.1.29]	EC:2.5.1.1	Yes
2706070545	319	73.9	2	319	4	320	0.0e+00	534	KO:K13787	geranylgeranyl diphosphate synthase, type I [EC:2.5.1.1 2.5.1.10 2.5.1.29]	EC:2.5.1.10	Yes
2706070545	319	73.9	2	319	4	320	0.0e+00	534	KO:K13787	geranylgeranyl diphosphate synthase, type I [EC:2.5.1.1 2.5.1.10 2.5.1.29]	EC:2.5.1.29	Yes
2706070547	470	61.06	20	469	14	462	0.0e+00	578	KO:K03406	methyl-accepting chemotaxis protein		Yes
2706070548	153	68.63	1	153	1	153	7.1e-77	257	KO:K03411	chemotaxis protein CheD [EC:3.5.1.44]	EC:3.5.1.44	Yes
2706070549	964	64.49	1	964	1	954	0.0e+00	1380	KO:K03407	two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]	EC:2.7.13.3	Yes
2706070550	365	74.52	2	364	5	369	0.0e+00	603	KO:K03412	two-component system, chemotaxis family, response regulator CheB [EC:3.1.1.61]	EC:3.1.1.61	Yes
2706070551	150	72.3	1	148	1	146	2.7e-70	238	KO:K03408	purine-binding chemotaxis protein CheW		Yes
2706070552	208	75	1	204	6	205	2.3e-112	363	KO:K16317	tRNA (pseudouridine54-N1)-methyltransferase [EC:2.1.1.257]	EC:2.1.1.257	Yes
2706070553	272	77.21	2	272	1	272	0.0e+00	490	KO:K00215	4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]	EC:1.17.1.8	Yes
2706070555	362	83.66	2	362	1	361	0.0e+00	732	KO:K06863	5-formaminoimidazole-4-carboxamide-1-(beta)-D-ribofuranosyl 5'-monophosphate synthetase [EC:6.3.4.23]	EC:6.3.4.23	Yes
2706070557	315	77.2	8	314	9	315	0.0e+00	578	KO:K01866	tyrosyl-tRNA synthetase [EC:6.1.1.1]	EC:6.1.1.1	Yes
2706070559	155	61.29	1	155	1	154	2.3e-67	231	KO:K00204	4Fe-4S ferredoxin		Yes
2706070560	361	70.45	9	360	3	354	0.0e+00	635	KO:K00205	4Fe-4S ferredoxin		Yes
2706070562	141	76.6	1	141	1	141	2.0e-80	265	KO:K07722	CopG family transcriptional regulator, nickel-responsive regulator		Yes
2706070564	374	68.78	1	365	1	375	0.0e+00	588	KO:K01791	UDP-N-acetylglucosamine 2-epimerase (non-hydrolysing) [EC:5.1.3.14]	EC:5.1.3.14	Yes
2706070570	416	66.43	1	415	145	558	0.0e+00	658	KO:K01890	phenylalanyl-tRNA synthetase beta chain [EC:6.1.1.20]	EC:6.1.1.20	Yes
2706070572	198	67.17	1	197	1	198	1.3e-99	326	KO:K00564	16S rRNA (guanine1207-N2)-methyltransferase [EC:2.1.1.172]	EC:2.1.1.172	Yes
2706070577	349	77.46	4	349	5	350	0.0e+00	628	KO:K02015	iron complex transport system permease protein		Yes
2706070578	376	67.2	4	375	3	374	0.0e+00	604	KO:K02015	iron complex transport system permease protein		Yes
2706070579	522	69.08	1	519	1	519	0.0e+00	859	KO:K01953	asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]	EC:6.3.5.4	Yes
2706070597	66	76.56	1	64	1	64	1.2e-38	140	KO:K00176	2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]	EC:1.2.7.3	Yes
2706070598	327	77.98	1	327	1	323	0.0e+00	608	KO:K11131	H/ACA ribonucleoprotein complex subunit 4 [EC:5.4.99.-]	EC:5.4.99.-	Yes
2706070604	732	86.98	4	725	18	739	0.0e+00	1440	KO:K13525	transitional endoplasmic reticulum ATPase		Yes
2706070605	226	81.33	1	225	1	225	0.0e+00	445	KO:K01952	phosphoribosylformylglycinamidine synthase [EC:6.3.5.3]	EC:6.3.5.3	Yes
2706070606	956	72.88	1	955	1	976	0.0e+00	1730	KO:K01869	leucyl-tRNA synthetase [EC:6.1.1.4]	EC:6.1.1.4	Yes
2706070607	124	78.51	1	121	1	121	4.7e-67	226	KO:K09739	uncharacterized protein		Yes
2706070608	649	72.07	1	649	1	691	0.0e+00	1200	KO:K01874	methionyl-tRNA synthetase [EC:6.1.1.10]	EC:6.1.1.10	Yes
2706070611	222	77.38	1	221	1	221	5.9e-126	403	KO:K00560	thymidylate synthase [EC:2.1.1.45]	EC:2.1.1.45	Yes
